Country,Year,Gender ratio,Education level,Percentage women
120,2015,0.86,120,2015
120,2005,0.77,120,2005
120,2015,0.81,120,2015
120,2020,0.87,120,2020
124,1995,0.99,124,1995
124,2005,0.99,124,2005
124,2010,1.01,124,2010
124,2015,1.01,124,2015
124,2018,1.0,124,2018
124,2019,0.99,124,2019
124,1995,1.0,124,1995
124,2005,0.98,124,2005
124,2010,0.98,124,2010
124,2018,1.01,124,2018
124,2019,1.01,124,2019
124,1995,1.01,124,1995
124,2010,0.97,124,2010
136,2005,0.96,136,2005
136,2018,0.97,136,2018
136,2020,0.98,136,2020
136,2005,0.93,136,2005
136,2018,1.01,136,2018
136,2020,1.03,136,2020
136,2005,1.0,136,2005
136,2018,0.98,136,2018
136,2020,1.08,136,2020
140,2005,0.7,140,2005
140,2010,0.73,140,2010
148,1995,0.49,148,1995
148,2005,0.68,148,2005
148,2010,0.73,148,2010
148,2015,0.77,148,2015
148,2018,0.78,148,2018
148,2019,0.78,148,2019
148,1995,0.24,148,1995
148,2005,0.35,148,2005
148,2010,0.42,148,2010
148,2015,0.45,148,2015
148,2018,0.52,148,2018
148,2019,0.53,148,2019
148,1995,0.19,148,1995
148,2005,0.28,148,2005
148,2010,0.36,148,2010
148,2015,0.35,148,2015
148,2018,0.44,148,2018
148,2019,0.44,148,2019
152,2005,0.96,152,2005
152,2010,0.97,152,2010
152,2015,0.97,152,2015
152,2018,0.97,152,2018
152,2019,0.97,152,2019
152,2005,1.01,152,2005
152,2010,1.03,152,2010
152,2015,1.01,152,2015
152,2018,1.0,152,2018
152,2019,0.99,152,2019
152,2005,1.03,152,2005
152,2010,1.05,152,2010
152,2015,1.02,152,2015
152,2018,1.01,152,2018
152,2019,1.0,152,2019
156,1995,0.95,156,1995
156,2010,0.98,156,2010
156,2015,1.0,156,2015
156,2018,1.01,156,2018
156,2019,1.01,156,2019
156,2020,1.01,156,2020
156,1995,0.85,156,1995
156,2010,1.0,156,2010
156,2015,1.05,156,2015
156,2018,1.04,156,2018
156,2019,1.04,156,2019
156,2020,1.03,156,2020
344,1995,1.01,344,1995
344,2015,1.02,344,2015
344,2018,1.04,344,2018
344,2019,1.05,344,2019
344,2020,1.04,344,2020
344,2005,1.01,344,2005
344,2010,1.0,344,2010
344,2015,0.98,344,2015
344,2018,0.97,344,2018
344,2019,0.98,344,2019
344,2020,0.99,344,2020
344,2005,1.03,344,2005
344,2010,1.02,344,2010
344,2015,0.99,344,2015
344,2019,0.96,344,2019
344,2020,0.96,344,2020
446,2005,0.94,446,2005
446,2010,0.98,446,2010
446,2015,0.98,446,2015
446,2018,0.99,446,2018
446,2019,0.98,446,2019
446,2020,0.98,446,2020
446,2005,0.93,446,2005
446,2010,0.97,446,2010
446,2015,0.99,446,2015
446,2018,1.0,446,2018
446,2019,1.0,446,2019
446,2020,1.0,446,2020
446,2005,0.98,446,2005
446,2010,1.03,446,2010
446,2015,1.01,446,2015
446,2018,1.02,446,2018
446,2019,1.02,446,2019
170,1995,0.99,170,1995
170,2005,0.98,170,2005
170,2010,0.98,170,2010
170,2015,0.97,170,2015
170,2018,0.97,170,2018
170,2019,0.97,170,2019
170,1995,1.15,170,1995
170,2005,1.11,170,2005
170,2010,1.1,170,2010
170,2015,1.07,170,2015
170,2018,1.05,170,2018
170,2019,1.05,170,2019
170,2005,1.19,170,2005
170,2010,1.2,170,2010
170,2015,1.18,170,2015
170,2018,1.15,170,2018
170,2019,1.14,170,2019
174,2018,1.0,174,2018
174,2018,1.07,174,2018
174,2018,1.11,174,2018
178,1995,0.85,178,1995
178,2005,0.93,178,2005
178,2010,0.95,178,2010
178,2018,0.97,178,2018
184,2005,0.99,184,2005
184,2010,0.95,184,2010
184,2015,0.96,184,2015
184,2019,0.96,184,2019
184,2020,0.98,184,2020
184,2005,1.05,184,2005
184,2010,1.1,184,2010
184,2015,1.06,184,2015
184,2019,1.04,184,2019
184,2020,0.99,184,2020
184,2010,1.26,184,2010
184,2015,1.16,184,2015
184,2019,1.07,184,2019
184,2020,1.16,184,2020
188,1995,0.99,188,1995
188,2005,0.97,188,2005
188,2010,0.98,188,2010
188,2015,0.99,188,2015
188,2018,1.01,188,2018
188,2019,1.01,188,2019
188,2020,1.02,188,2020
188,1995,1.08,188,1995
188,2005,1.04,188,2005
188,2010,1.04,188,2010
188,2015,1.04,188,2015
188,2018,1.08,188,2018
188,2019,1.08,188,2019
188,2020,1.09,188,2020
188,1995,1.13,188,1995
188,2005,1.14,188,2005
188,2010,1.16,188,2010
188,2015,1.18,188,2015
188,2018,1.2,188,2018
188,2019,1.17,188,2019
188,2020,1.18,188,2020
384,1995,0.73,384,1995
384,2015,0.88,384,2015
384,2018,0.93,384,2018
384,2019,0.94,384,2019
384,2020,0.94,384,2020
384,2015,0.7,384,2015
384,2018,0.77,384,2018
384,2019,0.79,384,2019
384,2020,0.83,384,2020
384,2015,0.66,384,2015
384,2018,0.7,384,2018
384,2019,0.71,384,2019
384,2020,0.75,384,2020
191,1995,1.0,191,1995
191,2005,1.0,191,2005
191,2010,1.0,191,2010
191,2015,1.0,191,2015
191,2018,1.0,191,2018
191,2019,1.01,191,2019
191,1995,1.04,191,1995
191,2005,1.03,191,2005
191,2010,1.07,191,2010
191,2015,1.05,191,2015
191,2018,1.05,191,2018
191,2019,1.05,191,2019
191,2005,1.05,191,2005
191,2010,1.12,191,2010
192,1995,0.99,192,1995
192,2005,0.97,192,2005
192,2010,0.98,192,2010
192,2015,0.94,192,2015
192,2018,0.96,192,2018
192,2019,0.97,192,2019
192,2020,0.97,192,2020
192,1995,1.12,192,1995
192,2005,1.02,192,2005
192,2010,1.0,192,2010
192,2015,1.02,192,2015
192,2018,1.02,192,2018
192,2019,1.01,192,2019
192,2020,1.01,192,2020
192,2005,1.06,192,2005
192,2010,1.03,192,2010
192,2015,1.11,192,2015
192,2018,1.09,192,2018
192,2019,1.08,192,2019
192,2020,1.07,192,2020
531,2020,0.95,531,2020
531,2020,1.22,531,2020
531,2020,1.55,531,2020
196,1995,1.0,196,1995
196,2005,1.0,196,2005
196,2010,1.0,196,2010
196,2015,1.0,196,2015
196,2018,0.99,196,2018
196,2019,0.99,196,2019
196,1995,1.01,196,1995
196,2005,1.02,196,2005
196,2010,1.01,196,2010
196,2015,0.99,196,2015
196,2018,0.98,196,2018
196,2019,0.97,196,2019
196,2005,1.03,196,2005
196,2010,1.02,196,2010
196,2018,0.96,196,2018
196,2019,0.96,196,2019
203,1995,1.0,203,1995
203,2005,0.99,203,2005
203,2010,1.0,203,2010
203,2015,1.0,203,2015
203,2018,1.01,203,2018
203,2019,1.0,203,2019
203,1995,1.03,203,1995
203,2005,1.02,203,2005
203,2010,1.01,203,2010
203,2015,1.01,203,2015
203,2018,1.0,203,2018
203,2019,1.01,203,2019
203,1995,1.06,203,1995
203,2005,1.03,203,2005
203,2015,1.02,203,2015
203,2019,1.02,203,2019
408,2018,1.0,408,2018
408,2015,1.01,408,2015
408,2015,1.02,408,2015
408,2018,1.02,408,2018
180,1995,0.69,180,1995
180,2010,0.87,180,2010
180,2015,0.99,180,2015
180,2018,0.94,180,2018
180,1995,0.61,180,1995
180,2010,0.58,180,2010
180,2015,0.64,180,2015
180,2010,0.52,180,2010
180,2015,0.62,180,2015
208,1995,1.0,208,1995
208,2005,1.0,208,2005
208,2010,1.0,208,2010
208,2015,0.99,208,2015
208,2018,1.0,208,2018
208,2019,1.0,208,2019
208,1995,1.03,208,1995
208,2005,1.04,208,2005
208,2010,1.01,208,2010
208,2015,1.05,208,2015
208,2019,0.99,208,2019
208,1995,1.05,208,1995
208,2005,1.05,208,2005
208,2015,1.08,208,2015
208,2018,1.02,208,2018
208,2019,1.01,208,2019
262,1995,0.78,262,1995
262,2005,0.82,262,2005
262,2015,1.07,262,2015
262,2018,1.02,262,2018
262,2019,1.0,262,2019
262,2020,0.96,262,2020
262,1995,0.69,262,1995
262,2005,0.66,262,2005
262,2015,0.95,262,2015
262,2018,1.0,262,2018
262,2019,1.03,262,2019
262,2020,1.03,262,2020
262,2005,0.63,262,2005
262,2015,0.89,262,2015
262,2018,0.99,262,2018
262,2019,0.99,262,2019
262,2020,1.01,262,2020
212,1995,1.15,212,1995
212,2005,1.0,212,2005
212,2010,0.98,212,2010
212,2015,0.98,212,2015
212,2019,0.97,212,2019
212,2020,0.93,212,2020
212,2005,1.08,212,2005
212,2010,1.09,212,2010
212,2015,0.99,212,2015
212,2019,1.02,212,2019
212,2020,1.03,212,2020
212,2005,1.36,212,2005
212,2010,1.38,212,2010
212,2015,1.12,212,2015
212,2019,1.2,212,2019
212,2020,1.15,212,2020
214,2005,0.95,214,2005
214,2010,0.88,214,2010
214,2015,0.91,214,2015
214,2018,0.94,214,2018
214,2019,0.95,214,2019
214,2020,0.96,214,2020
214,2005,1.19,214,2005
214,2010,1.12,214,2010
214,2015,1.1,214,2015
214,2018,1.08,214,2018
214,2019,1.09,214,2019
214,2020,1.09,214,2020
214,2005,1.24,214,2005
214,2010,1.19,214,2010
214,2015,1.15,214,2015
214,2018,1.2,214,2018
214,2019,1.19,214,2019
214,2020,1.18,214,2020
