Organization Key,Organization Id,Organization,Organization Name,Org Parent Key,Org Parent,Major Org Key,Major Org,Organization Level,Organization Number,Organization Sort,Assignable,Course,Description,Warehouse Load Date,D Code,Hr Department Code Old,Hr Org Unit Id,Hr Department Name
106,106,ALUMNI,ALUMNI/AE ASSOC,163,EXECVP,EXECVP,871000,4,871000,0101030603,1,"","",01/08/16 05:13 AM,D_ALUM,871000,10000910,Alumni Association
109,109,APROV,ASSOC PROVOST,230,PROVST,PROVST,401801,4,401801,0101060003,1,"","",01/08/16 05:13 AM,D_MASDAR,401801,10004208,Masdar
111,111,ASP,ADVD STUDY PROGM,230,S ENG,PROVST,061400,5,061400,0101060052,1,"","",01/08/16 05:13 AM,D_ASP,061400,10000928,Advanced Study Program
121,121,CARDSV,CARD SERVICES,129,ENTSVC,CHNCLR,862000,6,862000,0101030310,1,"","",01/08/16 05:13 AM,D_MITCARD,862000,10000909,MIT Card Office
133,133,CMPACT,CAMP ACTIV COMPL,129,DSL,CHNCLR,405500,5,405500,0101030303,1,"","",01/08/16 05:13 AM,D_CAC,405500,10000636,Campus Activities Complex
138,138,COPYTC,COPY TECH CENTER,129,ENTSVC,CHNCLR,874200,6,874200,0101030311,1,"","",01/08/16 05:13 AM,D_COPYTECH,874200,10000918,Copy Technology Centers
139,139,CRC,CLINICAL RES CTR,230,IMES,PROVST,163000,6,163000,0101060094,1,"","",01/08/16 05:13 AM,D_CLINRES,163000,10000550,Clinical Research Center
145,145,DCM,DIV OF COMP MED,230,VP-RES,PROVST,402100,5,402100,0101060213,1,"","",01/08/16 05:13 AM,D_COMPMED,402100,10000612,Division of Comparative Medicine
166,166,FINANC,OFF OF BUDGT&FIN,163,EXECVP,EXECVP,427000,4,427000,0101030640,1,"","",01/08/16 05:13 AM,D_OBFP,427000,10000705,Budget and Financial Analysis
182,182,KIICR,KOCH INS INT C R,230,S SCI,PROVST,159700,5,402000,0101060188,1,"","",01/08/16 05:13 AM,D_KI,402000,10000545,Koch Inst - Integrative Cancer Research
217,217,OTHNON,OTHER NON-MIT,217,PRES,OTHNON,"",3,"",0101031500,1,"","",01/08/16 05:13 AM,"","","",""
218,218,PARK&T,PARKING & TRANSP,163,DOFADM,EXECVP,405900,5,405900,0101030625,1,"","",01/08/16 05:13 AM,D_PARKING,405900,10000641,Parking and Transportation Office
220,220,PI,PROFNL INSTITUTE,230,S ENG,PROVST,061500,5,061500,0101060130,1,"","",01/08/16 05:13 AM,D_PI,061500,10000929,Professional Institute
224,224,PRES,PRESIDENT,224,ALL,PRES,"",2,"",0101000000,1,"","",01/08/16 05:13 AM,"","","",""
230,230,PROVST,PROVOST,230,PRES,PROVST,"",3,401800,0101060000,1,"","",01/08/16 05:13 AM,D_PROVOST,401800,10000603,Office of the Provost
236,236,RESIDE,CAMPUS RESIDENCE,129,RLSLAD,CHNCLR,861000,6,861000,0101030318,1,"","",01/08/16 05:13 AM,D_HOUSING,861000,10000894,Housing
249,249,SINGAP,SINGAPORE/MIT,230,S ENG,PROVST,068200,5,068200,0101060132,1,"","",01/08/16 05:13 AM,D_SMA,068200,10000334,Singapore/MIT Alliance
256,256,STUSVC,STU SERVICES CTR,129,DUE,CHNCLR,447000,5,449000,0101030433,1,"","",01/08/16 05:13 AM,D_SFS,449000,10000768,Student Financial Services
261,261,UA&AP,UND ADV&ACAD PR,129,DUE,CHNCLR,444000,5,444000,0101030439,1,"","",01/08/16 05:13 AM,D_UAAP,444000,10002634,Undergraduate Advising and Academic Prog
110,110,ARCH,ARCHITECTURE,230,SAP,PROVST,031000,5,031000,0101060036,1,4,"",01/08/16 05:13 AM,D_ARCH,031000,10000270,Architecture
118,118,BIOTEC,BIOTEC PRO ENG C,230,S ENG,PROVST,068800,5,068800,0101060063,1,"","",01/08/16 05:13 AM,D_BPEC,068800,10000339,Biotechnology Process Engineering Center
