tid;relationship;related_tid;targrel_id
108399;OVERLAPS WITH;108400;36477
108399;OVERLAPS WITH;107945;36478
108399;OVERLAPS WITH;105020;36479
108399;SUBSET OF;104808;36480
108399;OVERLAPS WITH;104295;36481
108399;OVERLAPS WITH;109746;36483
108399;OVERLAPS WITH;107898;36484
108399;SUPERSET OF;12946;36485
105508;SUPERSET OF;104288;36486
105508;OVERLAPS WITH;107887;36488
105508;OVERLAPS WITH;107885;36489
105508;OVERLAPS WITH;107884;36490
105508;OVERLAPS WITH;104891;36491
105508;OVERLAPS WITH;104894;36492
105508;SUPERSET OF;104895;36493
105508;SUPERSET OF;108129;36494
105508;SUPERSET OF;108128;36495
105508;OVERLAPS WITH;104898;36496
105508;OVERLAPS WITH;104897;36497
105508;OVERLAPS WITH;104283;36498
105508;SUPERSET OF;10642;36499
105508;OVERLAPS WITH;108141;36500
105508;SUPERSET OF;11184;36502
105508;OVERLAPS WITH;104285;36503
105508;OVERLAPS WITH;105076;36504
11748;SUBSET OF;104750;36505
11748;SUBSET OF;108121;36506
107882;OVERLAPS WITH;107879;36507
107882;SUPERSET OF;10341;36508
107882;SUPERSET OF;10659;36509
107882;OVERLAPS WITH;107883;36510
107882;OVERLAPS WITH;105044;36511
107882;OVERLAPS WITH;107881;36512
107882;OVERLAPS WITH;107880;36513
107882;SUBSET OF;104844;36514
107886;OVERLAPS WITH;108120;36520
107888;SUBSET OF;104692;36521
107888;SUPERSET OF;10024;36522
107888;SUPERSET OF;11890;36523
107895;OVERLAPS WITH;107945;36524
107895;OVERLAPS WITH;107893;36525
107895;OVERLAPS WITH;105020;36526
107895;SUPERSET OF;10007;36527
107895;OVERLAPS WITH;109746;36528
107895;OVERLAPS WITH;104299;36529
107895;SUBSET OF;104710;36530
107895;OVERLAPS WITH;107896;36531
107895;OVERLAPS WITH;104708;36532
107895;SUPERSET OF;11678;36533
107898;OVERLAPS WITH;107945;36534
107898;OVERLAPS WITH;105020;36535
107898;SUBSET OF;104808;36536
107898;OVERLAPS WITH;104295;36537
107898;OVERLAPS WITH;104965;36538
107898;OVERLAPS WITH;109746;36539
107898;OVERLAPS WITH;108399;36540
107898;SUPERSET OF;12946;36541
107898;SUPERSET OF;12709;36542
107903;SUPERSET OF;12781;36543
107903;SUPERSET OF;10044;36544
107903;SUBSET OF;104775;36545
107907;SUPERSET OF;12547;36546
107907;SUPERSET OF;11762;36547
107907;SUBSET OF;104701;36548
107926;SUPERSET OF;103457;36549
107937;OVERLAPS WITH;107890;36551
107937;SUPERSET OF;101589;36553
107939;SUPERSET OF;100444;36554
107939;SUPERSET OF;107938;36556
108428;OVERLAPS WITH;104849;36559
106167;SUPERSET OF;13009;36563
10216;SUBSET OF;104683;36564
100413;SUBSET OF;109739;36566
87;SUBSET OF;108401;36568
87;SUBSET OF;104861;36569
11262;SUBSET OF;104938;36570
11923;SUBSET OF;104705;36571
10669;SUBSET OF;108131;36572
10669;SUBSET OF;104692;36573
10669;SUBSET OF;108132;36574
10669;SUBSET OF;104281;36575
10669;SUBSET OF;104287;36576
11668;SUBSET OF;104824;36577
11668;SUBSET OF;104687;36578
11789;SUBSET OF;104798;36579
11789;SUBSET OF;104936;36581
105217;SUBSET OF;107922;36582
105709;SUPERSET OF;12715;36583
105709;SUPERSET OF;10819;36585
105709;SUPERSET OF;10639;36588
105709;SUPERSET OF;104282;36589
105709;OVERLAPS WITH;107885;36590
105709;OVERLAPS WITH;107884;36591
105709;OVERLAPS WITH;105076;36592
105767;OVERLAPS WITH;105764;36593
105767;OVERLAPS WITH;105765;36595
105767;SUBSET OF;105766;36596
105767;SUPERSET OF;266;36597
105767;SUPERSET OF;57;36598
104836;OVERLAPS WITH;104713;36600
104836;OVERLAPS WITH;104794;36601
104836;SUPERSET OF;12512;36602
104836;SUBSET OF;105078;36603
104836;SUPERSET OF;12171;36604
104836;OVERLAPS WITH;105098;36605
104796;OVERLAPS WITH;105095;36607
104796;SUPERSET OF;3;36608
104796;OVERLAPS WITH;105039;36611
104796;SUPERSET OF;10605;36613
104796;OVERLAPS WITH;104997;36614
104796;SUPERSET OF;11515;36615
104796;SUBSET OF;105761;36616
104796;OVERLAPS WITH;104872;36617
104796;SUPERSET OF;104874;36618
104796;SUPERSET OF;11360;36619
109739;SUPERSET OF;100413;36620
109739;SUPERSET OF;11902;36621
109739;SUPERSET OF;101034;36622
109750;SUPERSET OF;12576;36624
109750;SUPERSET OF;10427;36625
109750;SUPERSET OF;105055;36626
109750;SUPERSET OF;11939;36627
109750;SUPERSET OF;11177;36628
109750;SUPERSET OF;107936;36630
109750;SUPERSET OF;104943;36631
109750;SUPERSET OF;11362;36634
108439;OVERLAPS WITH;108401;36641
108439;SUPERSET OF;12968;36642
108439;SUPERSET OF;10009;36643
105771;SUPERSET OF;109474;36644
105771;SUPERSET OF;317;36645
105773;SUPERSET OF;112;36646
105773;SUPERSET OF;148;36647
105773;SUPERSET OF;104978;36648
105773;SUPERSET OF;134;36649
108121;SUPERSET OF;11748;36651
108121;OVERLAPS WITH;104750;36652
108123;SUBSET OF;104813;36653
108123;SUPERSET OF;11636;36654
108123;SUBSET OF;104683;36655
108123;SUPERSET OF;11635;36656
108124;SUPERSET OF;34;36657
108124;OVERLAPS WITH;104798;36658
108124;OVERLAPS WITH;104985;36660
108124;SUPERSET OF;101250;36661
108124;OVERLAPS WITH;104293;36662
108124;OVERLAPS WITH;108134;36663
108124;OVERLAPS WITH;105103;36664
108124;OVERLAPS WITH;104936;36665
108126;OVERLAPS WITH;104761;36666
108126;SUPERSET OF;10515;36667
108126;SUPERSET OF;12172;36669
108126;SUPERSET OF;108125;36670
108137;SUBSET OF;105048;36671
108137;SUPERSET OF;156;36672
108140;OVERLAPS WITH;105744;36674
108140;SUPERSET OF;9;36675
108140;OVERLAPS WITH;104942;36676
108140;SUPERSET OF;100948;36677
105446;SUBSET OF;108143;36690
105447;SUBSET OF;108402;36691
105447;SUBSET OF;108143;36692
105447;SUBSET OF;108142;36693
107599;SUBSET OF;107940;36695
106133;OVERLAPS WITH;106132;36696
109697;SUPERSET OF;19914;36697
109697;SUPERSET OF;17094;36698
108144;SUPERSET OF;101608;36700
108144;OVERLAPS WITH;104998;36701
