year,region,name,ratio
2010,132,Cabo Verde,1.19
2010,132,Cabo Verde,1.32
2015,132,Cabo Verde,0.93
2015,132,Cabo Verde,1.12
2015,132,Cabo Verde,1.28
2018,132,Cabo Verde,0.93
2018,132,Cabo Verde,1.1
2018,132,Cabo Verde,1.27
2019,132,Cabo Verde,0.94
2019,132,Cabo Verde,1.09
2019,132,Cabo Verde,1.24
2005,116,Cambodia,0.93
2010,116,Cambodia,0.94
2015,116,Cambodia,0.99
2018,116,Cambodia,0.98
2019,116,Cambodia,0.97
2020,116,Cambodia,0.97
2020,116,Cambodia,1.08
2020,116,Cambodia,0.99
2005,120,Cameroon,0.84
2005,120,Cameroon,0.79
2005,120,Cameroon,0.77
2010,120,Cameroon,0.86
2015,120,Cameroon,0.9
2015,120,Cameroon,0.86
2015,120,Cameroon,0.81
2018,120,Cameroon,0.9
2019,120,Cameroon,0.9
2020,120,Cameroon,0.87
2005,124,Canada,0.99
2005,124,Canada,0.98
2005,124,Canada,0.98
2010,124,Canada,1.01
2010,124,Canada,0.98
2010,124,Canada,0.97
2015,124,Canada,1.01
2015,124,Canada,1.01
2015,124,Canada,1.01
2018,124,Canada,1.0
2018,124,Canada,1.01
2018,124,Canada,1.01
2019,124,Canada,0.99
2019,124,Canada,1.01
2019,124,Canada,1.01
2010,140,Central African Republic,0.73
2005,148,Chad,0.68
2005,148,Chad,0.35
2005,148,Chad,0.28
2010,148,Chad,0.73
2010,148,Chad,0.42
2010,148,Chad,0.36
2015,148,Chad,0.77
2015,148,Chad,0.45
2015,148,Chad,0.35
2018,148,Chad,0.78
2018,148,Chad,0.52
2018,148,Chad,0.44
2019,148,Chad,0.78
2019,148,Chad,0.53
2019,148,Chad,0.44
2005,152,Chile,0.96
2005,152,Chile,1.01
2005,152,Chile,1.03
2010,152,Chile,0.97
2010,152,Chile,1.03
2010,152,Chile,1.05
2015,152,Chile,0.97
2015,152,Chile,1.01
2015,152,Chile,1.02
2019,152,Chile,0.97
2019,152,Chile,0.99
2019,152,Chile,1.0
2010,156,China,0.98
2010,156,China,1.0
2010,156,China,0.98
2015,156,China,1.0
2015,156,China,1.05
2018,156,China,1.01
2018,156,China,1.04
2019,156,China,1.01
2019,156,China,1.04
2020,156,China,1.01
2020,156,China,1.03
2005,170,Colombia,0.98
2005,170,Colombia,1.11
2005,170,Colombia,1.19
2010,170,Colombia,0.98
2010,170,Colombia,1.1
2010,170,Colombia,1.2
2015,170,Colombia,0.97
2015,170,Colombia,1.07
2015,170,Colombia,1.18
2018,170,Colombia,0.97
2018,170,Colombia,1.05
2018,170,Colombia,1.15
2019,170,Colombia,0.97
2019,170,Colombia,1.05
2019,170,Colombia,1.14
2018,174,Comoros,1.0
2018,174,Comoros,1.07
2018,174,Comoros,1.11
2005,178,Congo,0.93
2010,178,Congo,0.95
2018,178,Congo,0.97
2005,188,Costa Rica,0.97
2005,188,Costa Rica,1.04
2005,188,Costa Rica,1.14
2010,188,Costa Rica,0.98
2010,188,Costa Rica,1.04
2010,188,Costa Rica,1.16
2015,188,Costa Rica,0.99
2015,188,Costa Rica,1.04
2015,188,Costa Rica,1.18
2018,188,Costa Rica,1.01
2018,188,Costa Rica,1.08
2018,188,Costa Rica,1.2
2019,188,Costa Rica,1.01
2019,188,Costa Rica,1.08
2019,188,Costa Rica,1.17
2020,188,Costa Rica,1.02
2020,188,Costa Rica,1.09
2020,188,Costa Rica,1.18
2015,384,Côte d’Ivoire,0.88
2015,384,Côte d’Ivoire,0.7
2015,384,Côte d’Ivoire,0.66
2018,384,Côte d’Ivoire,0.93
2018,384,Côte d’Ivoire,0.77
2018,384,Côte d’Ivoire,0.7
2019,384,Côte d’Ivoire,0.94
2019,384,Côte d’Ivoire,0.79
